ID Sitio,Traza,Sub-Traza,Localidad,Departamento,Provincia,Poblacion Censo 2010,Lat_sitio,Lon_sitio,Fecha Real de Conexión,Estado
1681,ACHERAL - LA RIOJA,TUCUMAN - RUMI PUNCO 10G POR DWDM ACHERAL,Juan Bautista Alberdi,Juan B. Alberdi,Tucuman,18430,-27.585977404,-65.620843677,19/10/18,Conectado
2976,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,San Juan de Oros,Santa Catalina,Jujuy,27,-22.216011,-66.3856,28/09/18,Conectado
3053,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Santa Catalina,Santa Catalina,Jujuy,305,-21.9449944444,-66.0513527778,08/06/18,Conectado
704,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Casira,Santa Catalina,Jujuy,176,-21.9783055556,-65.8952722222,28/09/18,Conectado
2619,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Profesor Salvador Mazza,Gral.J. de San Martín,Salta,18899,-22.0519388889,-63.6858583333,15/09/16,Conectado
2415,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Oratorio,Santa Catalina,Jujuy,96,-22.0994444444,-66.1314444444,21/09/18,Conectado
3629,LA QUIACA - SANTA MARIA,ANILLO LA QUIACA,Yavi Chico,Yavi,Jujuy,33,-22.0999166667,-65.4586666667,31/08/18,Conectado
816,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Cieneguillas,Santa Catalina,Jujuy,286,-22.1008,-65.8664833,28/09/18,Conectado
1843,PERICO - LA QUIACA,LA QUIACA - SAN SALVADOR DE JUJUY II POR PURMAMARCA,La Quiaca,Yavi,Jujuy,16874,-22.1079361111,-65.5951916667,23/03/18,Conectado
3628,LA QUIACA - SANTA MARIA,ANILLO LA QUIACA,Yavi,Yavi,Jujuy,378,-22.1319166667,-65.4598333333,24/08/18,Conectado
3254,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Tobantirenda,Gral.J. de San Martín,Salta,849,-22.1537194,-63.7116416,14/12/17,Conectado
36170,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Cienaga de Paicone,Santa Catalina,Jujuy,,-22.178605,-66.412002,28/09/18,Conectado
2429,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Paicone,Santa Catalina,Jujuy,64,-22.2183333333,-66.42425,28/09/18,Conectado
127,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Aguaray,Gral.J. de San Martín,Salta,10410,-22.2392277,-63.7273083,06/04/18,Conectado
2288,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Misar Rumi,Santa Catalina,Jujuy,36,-22.2594444444,-66.3672222222,14/09/18,Conectado
2694,PERICO - LA QUIACA,LA QUIACA - SAN SALVADOR DE JUJUY II POR PURMAMARCA,Pumahuasi,Yavi,Jujuy,233,-22.2878888889,-65.6801944444,24/08/18,Conectado
2560,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Piquirenda,Gral.J. de San Martín,Salta,505,-22.3247083,-63.7529083,20/04/18,Conectado
1054,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Cusi Cusi,Santa Catalina,Jujuy,243,-22.3408333333,-66.4925,05/10/18,Conectado
3619,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Yacuy,Gral.J. de San Martín,Salta,1686,-22.3656388,-63.769575,15/06/18,Conectado
3276,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Tranquitas,Gral.J. de San Martín,Salta,1052,-22.4047611,-63.7771583,20/04/18,Conectado
1789,PERICO - LA QUIACA,LA QUIACA - SAN SALVADOR DE JUJUY II POR PURMAMARCA,La Intermedia,Yavi,Jujuy,178,-22.4239444444,-65.7018611111,24/08/18,Conectado
624,PERICO - LA QUIACA,LA QUIACA - SAN SALVADOR DE JUJUY POR PURMAMARCA,Cangrejillos,Yavi,Jujuy,181,-22.4257222222,-65.5821388889,14/09/18,Conectado
2291,PICHANAL - SALVADOR MAZZA,TARTAGAL - PROFESOR SALVADOR MAZZA,Mision Kilometro 6,Gral.J. de San Martín,Salta,1281,-22.5103055,-63.7509166,09/11/17,Conectado
2031,LA QUIACA - SANTA MARIA,LA QUIACA - SAN ANTONIO DE LOS COBRES,Liviara,Rinconada,Jujuy,46,-22.519722,-66.337778,21/09/18,Conectado
3222,PICHANAL - SALVADOR MAZZA,EMBARCACION - TARTAGAL 1G,Tartagal,Gral.J. de San Martín,Salta,63196,-22.5279555556,-63.7938972222,15/09/16,Conectado
