fecha,empresa,localidad,provincia,insumo,cupo_total_asignado_m3,produccion__m3,ventas_totales__m3,ventas_a_axion_m3,ventas_a_petrobras_m3,ventas_a_fox_petrol_m3,ventas_a_refineria_del_norte_m3,ventas_a_shell_m3,ventas_a_ypf_m3,ventas_a_energia_derivada_del_petroleo_m3,ventas_a_oil_combustibles_m3,ventas_a_trafigura_oil_m3
1/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,3500,6767.997473,3565.003159,298,0,0,0,1366,1901,0,0,0
1/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,300,0,476.6519267,0,0,0,0,0,476.65,0,0,0
1/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,654.4030322,0,0,0,0,0,654.41,0,0,0
1/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,0,1051.345546,517.57,533.77,0,0,0,0,0,0,0
1/1/2012,BIOLEDESMA S.A.,LEDESMA,JUJUY,CAÑA DE AZÚCAR,4083,4391.787745,4278.686039,503.81,0,0,0,615.17,2645.09,104.36,410.27,0
1/1/2012,BIOTRINIDAD S.A.,VILLA LA TRINIDAD,TUCUMÁN,CAÑA DE AZÚCAR,1400,0,1106.910929,0,0,0,0,0,1106.91,0,0,0
1/1/2012,COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.,LA FLORIDA,TUCUMÁN,CAÑA DE AZÚCAR,3000,3933.303853,3570.802274,0,0,0,519.23,0,2567.46,0,484.11,0
1/1/2012,ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.,AGUILARES,TUCUMÁN,CAÑA DE AZÚCAR,2090,2202.147821,1915.3506,1135.82,0,0,0,518,0,0,261.53,0
1/1/2012,RÍO GRANDE ENERGÍA S.A.,LA MENDIETA,JUJUY,CAÑA DE AZÚCAR,800,0,771.800379,0,0,0,0,298.62,473.18,0,0,0
2/1/2012,ALCONOA S.R.L.,EL TABACAL,SALTA,CAÑA DE AZÚCAR,3500,0,3381.99621,302,0,0,0,1402,1678,0,0,0
2/1/2012,BIO SAN ISIDRO S.A.,CAMPO SANTO,SALTA,CAÑA DE AZÚCAR,300,0,290.4485155,0,0,0,0,0,290.45,0,0,0
2/1/2012,BIOENERGÍA LA CORONA S.A.,CONCEPCIÓN,TUCUMÁN,CAÑA DE AZÚCAR,670,0,653.1648768,0,0,0,0,0,653.16,0,0,0
2/1/2012,BIOENERGÍA SANTA ROSA S.A.,LEÓN ROUGES,TUCUMÁN,CAÑA DE AZÚCAR,1200,0,958.307012,706.1,252.2,0,0,0,0,0,0,0
