"oficina","fecha_apertura","provincia","localidad","domicilio","telefono","responsable","tipo_locacion","provincia_indec_id"
"CAJ - ALMIRANTE BROWN","jun-14","Buenos Aires","Burzaco, Almirante Brown","Roca 983","(011) 4238-1380","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Local","06"
"CAJ - AVELLANEDA","06/10/2017","Buenos Aires","Avellaneda","Avenida Mitre 351 local 20","Sin teléfono","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","local","06"
"CAJ - BAHÍA BLANCA","22/08/2013","Buenos Aires","Bahía Blanca","Chacabuco 2250 - Barrio Villa Mitre","(0291) 4815536","BONINO, Julián","Local","06"
"CAJ - BARRACAS","01/05/2010","CABA","Barracas","San Antonio 555","(011) 4302-9664","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Oficina en Parroquia","02"
"CAJ - BARRIO INTA","01/09/2010","CABA","Villa Lugano","Calle Los Robles, Mza. 3, Barrio Inta","Sin teléfono","Sergio Larrosa Gerez","Espacio en Parroquia","02"
"CAJ - CABALLITO","1990","CABA","Caballito","Campichuelo 553","(011) 4982-4760","Diana Rosenfeld","Oficina PB","02"
"CAJ - CATAMARCA - VALLE VIEJO","13/12/2016","Catamarca","Valle Viejo","Av. Presidente Castillo S/N y Tres Puentes","(0383) 444-4328","SOSA, Jose Antonio","Oficinas en edificio","10"
"CAJ - CHACO - CASTELLI","sep-15","Chaco","Castelli","Juan Manuel de Rosas n° 55, esq. Av. 2 de Febrero","(03644) 471692","RUBIOLO, Ignacio","Espacio en CIC","22"
"CAJ - CHACO - RESISTENCIA","04/11/2011","Chaco","Resistencia","Obligado 320","(0362) 448-7840","RODRIGUEZ, Diana","Local","22"
"CAJ - CHACO - SÁENZ PEÑA","01/11/2011","Chaco","Sáenz Peña","Quinta 99, Bº San Cayetano","Sin teléfono","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Espacio en CIC","22"
"CAJ - CHASCOMÚS","08/11/2012","Buenos Aires","Chascomús","Hipólito Yrigoyen 186, Local 1","(02241)-42-2853","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Local","06"
"CAJ - CHUBUT - PUERTO MADRYN","dic-14","Chubut","Puerto Madryn","Lombardo 905","(0280) 4470-266","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Casa","26"
"CAJ - CONSTITUCIÓN - Pte. Néstor Carlos Kirchner","07/10/2011","CABA","Constitución","Salta 2007 (esq. 15 de Noviembre)","(011) 4304-5771","Carlos Enrique Bourlot","Local","02"
"CAJ - CÓRDOBA - B° CABILDO - Centro Integrador Comunitario","07/06/2012","Córdoba","Barrio Cabildo","Colorado 6500 B° Cabildo (Villa Libertador)","(0351) 493-7758","Martin Franco","Espacio en CIC","14"
"CAJ - CÓRDOBA - B° MALDONADO","10/08/2012","Córdoba","Barrio Maldonado","Manuel Querini 390 Esq. Blas Parera","(0351) 4419217","CARULLO Sergio","Local","14"
"CAJ - CÓRDOBA - VILLA MARIA","17/05/2017","Córdoba","Villa Maria","Walt Disney n° 78","(0353) 4548004","Natalia Gonzalez","Oficina de Ministerio de Desarrollo Social provincial","14"
"CAJ - DOLORES","31/12/2012","Buenos Aires","Dolores","San Martin 750","(02245) 44-0949","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Local","06"
"CAJ - CORRIENTES","20/07/2012","Corrientes","Corrientes","Los Cuevas y Calle 461. B Independencia.","Sin teléfono","OTARAN, Leonardo","Edificio Sedronar","18"
"CAJ - ELDORADO","abr-17","Misiones","Eldorado","Dinamarca 396 km 9","(03751) 450483","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Oficina de Desarrollo Social","54"
"CAJ - ENTRE RÍOS - GUALEGUAYCHÚ","sep-15","Entre Ríos","Gualeguaychú","Belgrano 736, entre Juan B Justo y Perito Moreno. Barrio La Cuchilla","(03446) 436256","SOBRAL, Francisco","Espacio en Parroquia","30"
"CAJ - ESTEBAN ECHEVERRÍA","22/02/2017","Buenos Aires","Esteban Echeverría","Alem 657","2092-8487","Canegallo, Paula","Casa","06"
"CAJ - FLORENCIO VARELA","08/11/2012","Buenos Aires","Florencio Varela","Las Heras 2895 esq. Ayacucho","(011) 4237-7986","GALLO, Carolina Elizabeth","Local","06"
"CAJ - FLORESTA","08/04/2011","CABA","Floresta","Venancio Flores 519","4648-4524","Hernan Tosca","Espacio en el Club","02"
"CAJ - ENTRE RÍOS - PARANÁ","01/12/2012","Entre Ríos","Paraná","República de Siria 486, Barrio San Agustín.","(0343) 4272787","ALBORNOZ, Carlos Alberto (interino)","Casa","30"
"CAJ - FORMOSA","01/12/2012","Formosa","Formosa","José María Uriburu 175","0370-444-5435","José Luis Céspedes","CASA","34"
"CAJ - HURLINGHAM","jun-14","Buenos Aires","W.C.Morris, Hurlingham","Dolores Huici 3276","4452-4733","TUYA, Mariana Eva","Local","06"
"CAJ - FORMOSA - CLORINDA","may-15","Formosa","Clorinda","Italia y Av. Maraña","Sin teléfono","Costadoni, Orlando","CIC","34"
"CAJ - JUJUY","31/05/2011","Jujuy","San Salvador de Jujuy","Independencia 127","(0388) 431-0826","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Casa","38"
"CAJ - JUJUY - ALTO COMEDERO","04/08/2016","Jujuy","San Salvador de Jujuy","Calle Capitán García esquina Hermanos Lemoide. Barrio 370 Viviendas","(0388) 4056020","Rafael Meriles","Espacio de la Cooperativa Telefónica de Palpalá","38"
"CAJ - JUJUY . SUSQUES - POSTA CORREDOR ANDINO","27/06/2018","Jujuy","Susques","San Luis y Orosmayo","no tiene","MON Marcela Soledad","CIC","38"
"CAJ - JUNÍN","08/11/2012","Buenos Aires","Junín","Rivadavia 5 Planta Alta, esq. Arias","(0236)-444-7602","CRIVELLI, Nicolás","Oficina en 1° piso arriba del correo","06"
"CAJ - LA BOCA","1990","CABA","La Boca","Olavarría 440","(011) 4301-7514","Jacqueline Sande Saenz","Local","02"
"CAJ - LA MATANZA","sep-14","Buenos Aires","La Matanza","Tucumán y Entre Ríos. Manzana 10, a una cuadra de Camino de Cintura","Sin teléfono","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Espacio en Parroquia","06"
"CAJ - LA MATANZA Barrio 17 de marzo","31/07/2017","Buenos Aires","La Matanza","Colonia y Asamblea","Sin teléfono","Temporalmente sin Coordinador designado. Depende de la Dirección Nacional","Espacio en Parroquia","06"
"CAJ - JUJUY - SAN PEDRO","04/08/2016","Jujuy","San Pedro de Jujuy","Avda. Presidente Perón Nº 11","(03888) 421976","Trinidad Santa Cruz","Espacio del Centro Judicial","38"
"CAJ - LA PLATA - B° LA USINA","01/08/2012","Buenos Aires","La Plata","Calle 146 Nº 343 e/531 y 532","(0221) 470-5493","RONGA, Tomás","Local","06"
"CAJ - LA PLATA - CENTRO","oct-15","Buenos Aires","La Plata","Avenida 13, entre 34 y 35","(0221) 425-4987","Ana Sanguinetti","Oficina en PB","06"
