yacimiento,provincia,mineraliza,geojson,geom
FRAILE RENEGADO,JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.222703465532,-22.0225667586346]}",0101000020E61000009E4A09C6408E50C0FC4F62EFC60536C0
AZULES,JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.0603051462685,-22.067106947163]}",0101000020E610000040C01D0ADC8350C03C66BFEB2D1136C0
OLGA,JUJUY,COBRE,"{""type"":""Point"",""coordinates"":[-65.5497560941612,-22.3231238419683]}",0101000020E6100000BE4C2F342F6350C0C8CF7D3EB85236C0
LA ESPERANZA,JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.1589398249571,-22.3505830769888]}",0101000020E6100000438EF1112C8A50C0AE3202D0BF5936C0
VICTORIA,JUJUY,COBRE,"{""type"":""Point"",""coordinates"":[-65.6631987641679,-22.4058767727211]}",0101000020E61000004FB63AD9716A50C0120B498AE76736C0
EL CONDOR,JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.1731316201436,-22.5055869611327]}",0101000020E6100000E29AA596148B50C04E59A7256E8136C0
EL CARMEN (RINCONADA),JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.2598507681966,-22.5541382749961]}",0101000020E6100000ADCF1D65A19050C0F4918801DC8D36C0
CUCHUASI,JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.5043133739851,-22.5934586740026]}",0101000020E6100000E20C9AAB46A050C05C5E5CE8EC9736C0
SANTO DOMINGO(RINCONADA),JUJUY,ORO,"{""type"":""Point"",""coordinates"":[-66.2688215303795,-22.6709084815765]}",0101000020E6100000335C385F349150C0DEFA82A8C0AB36C0
GRUPO PIRQUITAS,JUJUY,ESTANO,"{""type"":""Point"",""coordinates"":[-66.3782703614848,-22.7015782843536]}",0101000020E6100000E5E7E394359850C0EEE16AA29AB336C0
,JUJUY,ESTANO,"{""type"":""Point"",""coordinates"":[-66.5663427245543,-22.7612867884962]}",0101000020E610000070128EF53EA450C0C477E3B0E3C236C0
GRUPO PIRQUITAS,JUJUY,ESTANO,"{""type"":""Point"",""coordinates"":[-66.5659491524121,-22.7635975647597]}",0101000020E6100000C433CB8238A450C0C4F247217BC336C0
ESPERANZA,SALTA,COBRE,"{""type"":""Point"",""coordinates"":[-65.255221559502,-22.8023917875538]}",0101000020E6100000E5D2CE8C555050C0521F568C69CD36C0
GRUPO PIRQUITAS,JUJUY,ESTANO,"{""type"":""Point"",""coordinates"":[-66.4852401589866,-22.7941459751866]}",0101000020E61000006C63BD2C0E9F50C02EAD8F264DCB36C0
