"id_pd","nombre_pd","direccion","nombre_institucional","id_provincia","id_departamento","id_localidad","id_municipio","provincia","departamento","localidad","municipio","mail_institucional","latitud","longitud","horarios","link_facebook","estado"
"40","Berisso","33 (Barrio Obrero)","Centro Integral Comunitario","AR-B","1208","323","BUE014","Buenos Aires","Berisso","Berisso","Berisso","berisso@puntodigital.gob.ar","-34.881902","-57.85778","Lunes 09:00 a 14:00 , Martes 09:00 a 14:00 , Miércoles 09:00 a 14:00 , Jueves 09:00 a 14:00 , Viernes 09:00 a 14:00 ","https://www.facebook.com/nac.berisso/?notif_t=page_name_change&notif_id=1496838879569334","Activo"
"41","Cañuelas","San Vicente","Centro de Estudios Universitarios Jóvenes de Malvinas","AR-B","1213","431","BUE018","Buenos Aires","Cañuelas","Cañuelas","Cañuelas","canuelas@puntodigital.gob.ar","-35.0523736","-58.7566804","Lunes 09:00 a 19:00 , Martes 09:00 a 19:00 , Miércoles 09:00 a 19:00 , Jueves 09:00 a 19:00 , Viernes 09:00 a 19:00 ","https://www.facebook.com/Punto-Digital-Cañuelas-814989875248868","Activo"
"42","Carmen de Patagones","Calle Ramón Ocampo","SUM del Barrio Villa Rita","AR-B","1286","1649","BUE091","Buenos Aires","Patagones","Carmen de Patagones","Patagones","cdepatagones@puntodigital.gob.ar","-40.785293","-62.993631","Lunes 07:00 a 17:30 , Martes 07:00 a 17:30 , Miércoles 07:00 a 17:30 , Jueves 07:00 a 17:30 , Viernes 07:00 a 17:30 ","","Activo"
"43","Morón Sur","Baradero 1340","UGC 6","AR-B","1281","1497","BUE086","Buenos Aires","Moron","Moron","Morón","moronsur@puntodigital.gob.ar","-34.689553","-58.636381","Lunes 08:00 a 16:00 , Martes 08:00 a 16:00 , Miércoles 08:00 a 16:00 , Jueves 08:00 a 16:00 , Viernes 08:00 a 16:00 , Sábado 08:00 a 16:00 ","https://www.facebook.com/PuntoDigitalMoronSur/?fref=ts","Activo"
"44","Chivilcoy","Miguel Calderon 1271","Centro Integral Comunitario","AR-B","1221","697","BUE026","Buenos Aires","Chivilcoy","Chivilcoy","Chivilcoy","chivilcoy@puntodigital.gob.ar","-34.916846","-60.001681","Lunes 10:00 a 16:00 , Martes 10:00 a 16:00 , Miércoles 10:00 a 16:00 , Jueves 10:00 a 16:00 , Viernes 10:00 a 16:00 ","","Activo"
"45","Colonia Santa María","Avenida 11 de mayo 1263","Ex escuela media N°2 Nicolás Levalle","AR-B","1226","602","BUE032","Buenos Aires","Coronel Suarez","Coronel Suarez","Coronel Suárez","coronelsuarez@puntodigital.gob.ar","-37.558786","-61.876575","Lunes 09:00 a 17:00 , Martes 09:00 a 17:00 , Jueves 09:00 a 17:00 , Miércoles 08:00 a 18:00 , Viernes 08:00 a 18:00 ","https://www.facebook.com/PDSantaMariaCoronelSuarez","Activo"
"46","Coronel Suarez CTC","Rivadavia 155","Edificio municipal","AR-B","1226","602","BUE032","Buenos Aires","Coronel Suarez","Coronel Suarez","Coronel Suárez","coronelsuarez2@puntodigital.gob.ar","-37.458378","-61.931273","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","https://www.facebook.com/naccoronelsuarez.ctc","Activo"
"47","Dolores","Aristóbulo del Valle 302","Centro de Acceso a la Justicia","AR-B","1228","737","BUE034","Buenos Aires","Dolores","Dolores","Dolores","cajdolores@puntodigital.gob.ar","-36.312982","-57.678878","Jueves 09:00 a 15:00 , Viernes 09:00 a 15:00 , Martes 10:00 a 16:00 , Lunes 10:00 a 16:00 ","https://www.facebook.com/PuntoDigitalDolores/","Activo"
"48","Gral. Lamadrid","Roque Saenz Peña","Centro comunitario barrial","AR-B","1242","896","BUE048","Buenos Aires","General Lamadrid","General la Madrid","General la Madrid","lamadrid@puntodigital.gob.ar","-37.249677","-61.262192","Lunes 07:00 a 13:00 - 14:00 a 15:30 , Martes 07:00 a 13:00 - 15:00 a 20:00 , Miércoles 07:00 a 13:00 - 16:00 a 20:00 , Jueves 07:00 a 13:00 - 14:00 a 20:00 , Viernes 07:00 a 13:00 - 18:00 a 19:30 ","","Activo"
"49","Gonzalez Catán","Juan Manuel Rosas 17798","Edificio de la Región Descentralizada Sur II","AR-B","1259","1151","BUE065","Buenos Aires","La Matanza","Gonzalez Catan","La Matanza","gonzalezcatan@puntodigital.gob.ar","-34.793422","-58.632121","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"50","Gral. Las Heras","Rivadavia 220","Edificio Municipal","AR-B","1243","910","BUE049","Buenos Aires","General las Heras","General las Heras","General las Heras","lasheras@puntodigital.gob.ar","-34.931214","-58.944117","Lunes 09:00 a 21:00 , Martes 09:00 a 21:00 , Miércoles 09:00 a 21:00 , Jueves 09:00 a 21:00 , Viernes 09:00 a 21:00 ","https://www.facebook.com/NacLasHeras/","Activo"
"51","Gral. Rodriguez","Sarmiento 518","Museo Histórico Bernardo Yrigoyen","AR-B","1248","995","BUE054","Buenos Aires","General Rodriguez","General Rodriguez","General Rodríguez","generalrodriguez@puntodigital.gob.ar","-34.605147","-58.955793","Lunes 07:00 a 11:00 - 08:00 a 17:00 , Martes 07:00 a 11:00 - 08:00 a 17:00 , Miércoles 07:00 a 11:00 - 08:00 a 17:00 , Jueves 07:00 a 11:00 - 08:00 a 17:00 , Viernes 07:00 a 11:00 - 08:00 a 17:00 ","https://www.facebook.com/profile.php?id=100015355507336","Activo"
"52","Villa Palito","Peribebuy y Figueroa Alcorta","CIC Almafuerte","AR-B","1259","1158","BUE065","Buenos Aires","La Matanza","San Justo","La Matanza","almafuerte@puntodigital.gob.ar","-34.6966766","-58.5573374","Lunes 08:00 a 13:00 , Martes 08:00 a 13:00 , Miércoles 08:00 a 13:00 , Jueves 08:00 a 13:00 , Viernes 08:00 a 13:00 ","","Activo"
"53","Remedios de Escalada","Monseñor Hladnik 3856","Fundación PUPI","AR-B","1261","1168","BUE067","Buenos Aires","Lanus","Remedios Escalada de San Martin","Lanús","pupi@puntodigital.gob.ar","-34.715557","-58.417292","Lunes 09:00 a 19:30 , Martes 09:00 a 19:30 , Miércoles 09:00 a 19:30 , Jueves 09:00 a 19:30 , Viernes 09:00 a 19:30 ","https://www.facebook.com/Punto-Digital-Fundaci%C3%B3n-Pupi-1403503536582769/","Activo"
"54","Laprida","Julio A. Costa","Sede de Envión","AR-B","1262","1215","BUE068","Buenos Aires","Laprida","Laprida","Laprida","laprida@puntodigital.gob.ar","-37.53997","-60.79246","Lunes 08:00 a 12:00 - 14:00 a 17:00 , Martes 08:00 a 12:00 - 14:00 a 17:00 , Miércoles 08:00 a 12:00 - 14:00 a 17:00 , Jueves 08:00 a 12:00 - 14:00 a 17:00 , Viernes 08:00 a 12:00 - 14:00 a 17:00 ","","Activo"
"56","Villa Albertina","Bayona 70","Delegación Municipal","AR-B","1269","1350","BUE074","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Lomas de Zamora","villaalbertina@puntodigital.gob.ar","-34.738918","-58.457142","","","Activo"
"57","Villa Centenario","Morazan 158","Sede de Envión Centenario","AR-B","1269","1350","BUE074","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Lomas de Zamora","villacentenario@puntodigital.gob.ar","-34.729567","-58.427682","","","Próximamente"
